Date,Time,H_with_symptoms,C,Total_H_C,Home_confinement,Total_positive_H_C_Home,Delta_Total_positive,Daily_new_positive,R_from_H,D_cum,Total_cases,Tests
2020-04-16,17:00:00,26893,2936,29829,76778,106607,1189,3786,40164,22170,168941,1178403
2020-04-17,17:00:00,25786,2812,28598,78364,106962,355,3493,42727,22745,172434,1244108
2020-04-18,17:00:00,25007,2733,27740,80031,107771,809,3491,44927,23227,175925,1305833
2020-04-19,17:00:00,25033,2635,27668,80589,108257,486,3047,47055,23660,178972,1356541
2020-04-20,17:00:00,24906,2573,27479,80758,108237,-20,2256,48877,24114,181228,1398024
2020-04-21,17:00:00,24134,2471,26605,81104,107709,-528,2729,51600,24648,183957,1450150
2020-04-22,17:00:00,23805,2384,26189,81510,107699,-10,3370,54543,25085,187327,1513251
2020-04-23,17:00:00,22871,2267,25138,81710,106848,-851,2646,57576,25549,189973,1579909
2020-04-24,17:00:00,22068,2173,24241,82286,106527,-321,3021,60498,25969,192994,1642356
2020-04-25,17:00:00,21533,2102,23635,82212,105847,-680,2357,63120,26384,195351,1707743
2020-04-26,17:00:00,21372,2009,23381,82722,106103,256,2324,64928,26644,197675,1757659
